"old_name","current_name"
"Streptococcus oralis [ref_mOTU_v31_00296]","Streptococcus oralis"
"Streptococcus oralis [ref_mOTU_v31_00297]","Streptococcus oralis"
"Streptococcus oralis [ref_mOTU_v31_00298]","Streptococcus oralis"
"Streptococcus oralis [ref_mOTU_v31_00299]","Streptococcus oralis"
"Streptococcus peroris [ref_mOTU_v31_00300]","Streptococcus peroris"
"Streptococcus sp. [ref_mOTU_v31_00301]","Streptococcus sp."
"Streptococcus infantis [ref_mOTU_v31_00302]","Streptococcus infantis"
"Streptococcus sp. HMSC067H01 [ref_mOTU_v31_00303]","Streptococcus sp. HMSC067H01"
"Streptococcus sp. HPH0090 [ref_mOTU_v31_00304]","Streptococcus sp. HPH0090"
"Streptococcus infantis [ref_mOTU_v31_00305]","Streptococcus infantis"
"Streptococcus infantis [ref_mOTU_v31_00306]","Streptococcus infantis"
"Streptococcus pseudopneumoniae/infantis [ref_mOTU_v31_00307]","Streptococcus pseudopneumoniae/infantis"
"Streptococcus infantis [ref_mOTU_v31_00308]","Streptococcus infantis"
"Streptococcus timonensis [ref_mOTU_v31_00309]","Streptococcus timonensis"
"Streptococcus sp. [ref_mOTU_v31_00310]","Streptococcus sp."
"Streptococcus australis [ref_mOTU_v31_00311]","Streptococcus australis"
"Streptococcus parasanguinis [ref_mOTU_v31_00312]","Streptococcus parasanguinis"
"Streptococcus sp. F0442 [ref_mOTU_v31_00313]","Streptococcus sp. F0442"
"Streptococcus equi [ref_mOTU_v31_00314]","Streptococcus equi"
"Streptococcus pyogenes [ref_mOTU_v31_00315]","Streptococcus pyogenes"
"Streptococcus dysgalactiae [ref_mOTU_v31_00316]","Streptococcus dysgalactiae"
"Streptococcus canis [ref_mOTU_v31_00317]","Streptococcus canis"
"Enterococcus faecalis [ref_mOTU_v31_00318]","Enterococcus faecalis"
"Enterococcus mundtii [ref_mOTU_v31_00319]","Enterococcus mundtii"
"Enterococcus sp. 10A9_DIV0425 [ref_mOTU_v31_00320]","Enterococcus sp. 10A9_DIV0425"
"Enterococcus faecium [ref_mOTU_v31_00321]","Enterococcus faecium"
"Enterococcus faecium [ref_mOTU_v31_00322]","Enterococcus faecium"
"Enterococcus faecium/durans [ref_mOTU_v31_00323]","Enterococcus faecium/durans"
"Enterococcus hirae [ref_mOTU_v31_00324]","Enterococcus hirae"
"Enterococcus villorum [ref_mOTU_v31_00325]","Enterococcus villorum"
