species,Healthy_stool_10_1,Healthy_stool_10_10,Healthy_stool_10_100,Healthy_stool_10_50,Healthy_stool_100_1,Healthy_stool_100_10,Healthy_stool_100_100,Healthy_stool_100_50
Bordetella parapertussis,6,14,4,8,6,6,2,8
Bordetella pertussis,4,11,5,4,2,8,2,6
Bordetella petrii,3,6,5,3,2,4,2,4
Bordetella pseudohinzii,NA,NA,4,6,4,2,3,3
Bordetella sp. H567,3,6,6,4,2,5,3,4
Bordetella trematum,9,3,7,4,1,3,8,4
Borrelia duttonii,NA,1,NA,2,2,NA,NA,1
Borrelia hermsii,NA,NA,NA,NA,2,1,NA,2
Borrelia miyamotoi,NA,NA,1,NA,NA,NA,NA,1
Borrelia parkeri,NA,NA,NA,NA,NA,NA,1,NA
Borrelia recurrentis,NA,1,NA,2,2,1,NA,1
Borrelia turicatae,2,NA,NA,1,2,NA,1,NA
Borreliella afzelii,NA,NA,NA,NA,1,NA,NA,NA
Borreliella bavariensis,NA,NA,NA,NA,1,NA,1,1
Borreliella bissettii,NA,NA,NA,1,NA,NA,2,NA
Borreliella burgdorferi,1,NA,NA,2,3,NA,2,1
Borreliella garinii,NA,NA,NA,NA,1,NA,1,1
Bosea sp. PAMC 26642,5,8,5,5,8,NA,3,4
Bosea sp. RAC05,5,9,4,3,4,2,1,6
Bosea vaviloviae,3,9,4,7,6,NA,1,3
Bovine papular stomatitis virus,1,1,NA,1,NA,1,NA,NA
Brachybacterium,1,NA,NA,NA,2,NA,2,NA
Brachybacterium faecium,1,3,6,7,1,4,NA,3
Brachyspira hyodysenteriae,3,4,2,7,4,2,4,1
Brachyspira intermedia,2,7,2,8,3,4,4,3
Brachyspira murdochii,1,3,1,6,1,1,11,3
Brachyspira pilosicoli,11,6,4,9,10,12,12,9
Nitrobacteraceae,1,2,2,1,NA,NA,NA,NA
Bradyrhizobium,NA,NA,NA,3,NA,NA,NA,NA
Bradyrhizobium diazoefficiens,12,9,7,10,2,7,1,4
Bradyrhizobium icense,4,1,8,3,4,NA,3,1
Bradyrhizobium japonicum,10,9,12,11,6,NA,4,5
Bradyrhizobium oligotrophicum,3,6,3,6,1,2,2,3
Bradyrhizobium sp.,5,5,8,4,2,NA,3,3
Bradyrhizobium sp. BTAi1,NA,6,11,5,2,2,1,2
Bradyrhizobium sp. CCGE-LA001,3,6,10,8,NA,NA,5,4
Bradyrhizobium sp. ORS 278,1,5,5,7,3,3,2,1
Bradyrhizobium sp. S23321,3,5,6,10,5,NA,6,5
Brevibacillus brevis,1,4,2,4,4,7,11,3
Brevibacillus laterosporus,3,2,3,1,3,4,4,6
Brevibacterium linens,4,4,3,4,2,2,2,4
Brevundimonas,NA,1,NA,NA,NA,NA,NA,NA
Brevundimonas naejangsanensis,6,1,5,4,2,4,1,4
Brevundimonas sp. DS20,2,NA,2,8,1,1,NA,4
Brevundimonas sp. GW460-12-10-14-LB2,4,3,1,7,2,3,1,2
Brevundimonas subvibrioides,5,1,7,8,4,1,NA,1
Brucella abortus,1,6,4,1,2,1,1,2
Brucella canis,6,5,4,2,2,NA,3,1
Brucella ceti,6,6,4,2,2,2,3,1
Brucella melitensis,2,5,3,2,4,1,2,4
Brucella microti,3,4,3,1,4,1,2,3
