species,Healthy_stool_10_1,Healthy_stool_10_10,Healthy_stool_10_100,Healthy_stool_10_50,Healthy_stool_100_1,Healthy_stool_100_10,Healthy_stool_100_100,Healthy_stool_100_50
Bartonella tribocorum,5,3,5,4,4,5,13,9
Bartonella vinsonii,2,2,4,5,2,9,6,8
Basilea psittacipulmonis,12,5,14,11,14,20,9,15
Bat mastadenovirus WIV10,NA,NA,NA,NA,NA,1,1,NA
Bat mastadenovirus WIV11,NA,NA,NA,NA,NA,1,1,NA
Bat mastadenovirus WIV9,NA,NA,NA,NA,NA,1,1,NA
Bathymodiolus septemdierum thioautotrophic gill symbiont,13,6,7,15,15,7,6,3
Bdellovibrio bacteriovorus,68,49,41,53,78,50,48,58
Pseudobdellovibrio exovorus,26,17,15,24,37,30,14,12
Beet chlorosis virus,NA,NA,NA,NA,1,NA,NA,NA
Beggiatoa leptomitiformis,35,18,12,17,28,9,17,12
Beijerinckia indica,32,20,11,19,17,16,16,15
Beijerinckiaceae,NA,NA,NA,NA,NA,NA,NA,1
