Domain,Phylum,Class,Order,Family,Genus,Species,Name,ti,Healthy_stool_100_100_noerr,Healthy_stool_100_10_noerr,Healthy_stool_100_1_noerr,Healthy_stool_100_50_noerr,Healthy_stool_10_100_noerr,Healthy_stool_10_10_noerr,Healthy_stool_10_1_noerr,Healthy_stool_10_50_noerr
Bacteria,Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,p_Verrucomicrobia,Verrucomicrobia bacterium S94,Verrucomicrobia bacterium S94,5587,7,3,1,1,1,0,0,0
Viruses,d_Viruses,d_Viruses,d_Viruses,Bicaudaviridae,f_Bicaudaviridae,Sulfolobus monocaudavirus SMV1,Sulfolobus monocaudavirus SMV1,5318,1,0,0,2,0,0,0,0
Viruses,d_Viruses,d_Viruses,d_Viruses,Nudiviridae,f_Nudiviridae,Esparto virus,Esparto virus,1753,0,0,0,1,0,0,0,0
Viruses,d_Viruses,d_Viruses,d_Viruses,d_Viruses,Pandoravirus,Pandoravirus neocaledonia,Pandoravirus neocaledonia,3927,0,0,1,0,2,3,2,1
Viruses,d_Viruses,d_Viruses,d_Viruses,d_Viruses,Pandoravirus,Pandoravirus salinus,Pandoravirus salinus,3928,0,0,0,1,0,0,0,0
Archaea,Candidatus Geothermarchaeota,p_Candidatus Geothermarchaeota,p_Candidatus Geothermarchaeota,p_Candidatus Geothermarchaeota,Conexivisphaera,Conexivisphaera calidus,Conexivisphaera calidus,1316,1,3,0,0,0,0,0,0
Archaea,Candidatus Lokiarchaeota,p_Candidatus Lokiarchaeota,p_Candidatus Lokiarchaeota,p_Candidatus Lokiarchaeota,Candidatus Prometheoarchaeum,Candidatus Prometheoarchaeum syntrophicum,Candidatus Prometheoarchaeum syntrophicum,1008,6,3,0,4,0,0,0,0
Archaea,Candidatus Micrarchaeota,p_Candidatus Micrarchaeota,p_Candidatus Micrarchaeota,p_Candidatus Micrarchaeota,Candidatus Mancarchaeum,Candidatus Mancarchaeum acidiphilum,Candidatus Mancarchaeum acidiphilum,962,0,1,0,0,0,0,0,0
Archaea,Euryarchaeota,Halobacteria,Haloferacales,o_Haloferacales,o_Haloferacales,o_Haloferacales,o_Haloferacales,3749,0,0,0,0,1,0,2,0
Archaea,Euryarchaeota,Thermoplasmata,c_Thermoplasmata,c_Thermoplasmata,c_Thermoplasmata,methanogenic archaeon ISO4-H5,methanogenic archaeon ISO4-H5,3243,1,7,2,2,1,2,0,1
Archaea,Euryarchaeota,p_Euryarchaeota,p_Euryarchaeota,p_Euryarchaeota,Aciduliprofundum,Aciduliprofundum boonei,Aciduliprofundum boonei,61,1,0,0,2,0,0,0,0
Archaea,Euryarchaeota,p_Euryarchaeota,p_Euryarchaeota,p_Euryarchaeota,Aciduliprofundum,Aciduliprofundum sp. MAR08-339,Aciduliprofundum sp. MAR08-339,62,2,0,0,1,0,0,0,0
Archaea,Thaumarchaeota,p_Thaumarchaeota,p_Thaumarchaeota,p_Thaumarchaeota,Candidatus Nitrosopelagicus,Candidatus Nitrosopelagicus brevis,Candidatus Nitrosopelagicus brevis,978,1,0,15,1,2,11,11,6
Archaea,Thaumarchaeota,p_Thaumarchaeota,p_Thaumarchaeota,p_Thaumarchaeota,Candidatus Nitrosotalea,Candidatus Nitrosotalea devanaterra,Candidatus Nitrosotalea devanaterra,984,1,2,0,1,3,5,1,5
Archaea,Thaumarchaeota,p_Thaumarchaeota,p_Thaumarchaeota,p_Thaumarchaeota,Candidatus Nitrosotalea,Candidatus Nitrosotalea okcheonensis,Candidatus Nitrosotalea okcheonensis,985,1,1,0,2,0,0,0,0
Archaea,Thaumarchaeota,p_Thaumarchaeota,p_Thaumarchaeota,p_Thaumarchaeota,Candidatus Nitrosotenuis,Candidatus Nitrosotenuis aquarius,Candidatus Nitrosotenuis aquarius,986,0,1,0,1,0,0,0,0
Archaea,Thaumarchaeota,p_Thaumarchaeota,p_Thaumarchaeota,p_Thaumarchaeota,Candidatus Nitrosotenuis,Candidatus Nitrosotenuis cloacae,Candidatus Nitrosotenuis cloacae,987,1,1,0,0,2,2,2,3
Archaea,Thaumarchaeota,p_Thaumarchaeota,p_Thaumarchaeota,p_Thaumarchaeota,Candidatus Nitrosotenuis,Candidatus Nitrosotenuis sp. DW1,Candidatus Nitrosotenuis sp. DW1,988,1,1,0,1,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,o_Corynebacteriales,o_Corynebacteriales,o_Corynebacteriales,o_Corynebacteriales,3740,17,17,34,7,10,20,45,11
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,o_Micrococcales,o_Micrococcales,o_Micrococcales,o_Micrococcales,3753,11,2,3,7,9,2,2,3
Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,o_Propionibacteriales,o_Propionibacteriales,o_Propionibacteriales,o_Propionibacteriales,3759,1,0,1,1,0,1,0,0
Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,o_Streptosporangiales,o_Streptosporangiales,o_Streptosporangiales,o_Streptosporangiales,3766,1,1,1,1,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,c_Actinobacteria,c_Actinobacteria,c_Actinobacteria,Actinobacteria bacterium IMCC26256,Actinobacteria bacterium IMCC26256,125,4,3,1,2,0,0,0,0
Bacteria,Actinobacteria,Actinobacteria,c_Actinobacteria,c_Actinobacteria,c_Actinobacteria,Actinobacteria bacterium YIM 96077,Actinobacteria bacterium YIM 96077,126,1,2,11,3,1,4,16,15
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,o_Coriobacteriales,o_Coriobacteriales,o_Coriobacteriales,o_Coriobacteriales,3739,24,20,22,34,117,52,56,48
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,o_Bacteroidales,o_Bacteroidales,o_Bacteroidales,o_Bacteroidales,3731,13788,14291,10182,14523,19984,15897,12038,16565
Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,o_Marinilabiliales,o_Marinilabiliales,o_Marinilabiliales,o_Marinilabiliales,3752,1,0,0,0,0,0,0,0
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,o_Cytophagales,o_Cytophagales,o_Cytophagales,o_Cytophagales,3741,8,5,13,11,8,13,21,16
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,o_Flavobacteriales,o_Flavobacteriales,o_Flavobacteriales,o_Flavobacteriales,3746,50,28,85,38,17,40,75,27
Bacteria,Bacteroidetes,p_Bacteroidetes,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,f_Rhodothermaceae,f_Rhodothermaceae,f_Rhodothermaceae,1870,5,2,3,0,2,0,0,0
