species,abundance_cols.healthy_stool_10_1,abundance_cols.healthy_stool_10_10,abundance_cols.healthy_stool_10_100,abundance_cols.healthy_stool_10_50,abundance_cols.healthy_stool_100_1,abundance_cols.healthy_stool_100_10,abundance_cols.healthy_stool_100_100,abundance_cols.healthy_stool_100_50
Levyella massiliensis,0,0,0,0,7,13,246,1381
Leyella stercorea,1043,1632,24431,977,24381,70598,72232,46099
Ligilactobacillus acidipiscis,0,0,0,0,4,3,2,1
Ligilactobacillus agilis,0,0,0,0,14,0,0,0
Ligilactobacillus animalis,0,0,0,0,4,0,0,0
Ligilactobacillus aviarius,0,0,0,0,7,0,0,0
Ligilactobacillus ceti,0,0,0,0,0,0,0,2
Ligilactobacillus equi,0,0,0,0,0,26,0,0
Ligilactobacillus hayakitensis,0,0,0,0,0,0,0,54
Ligilactobacillus ruminis,0,0,0,0,5103,13373,58467,19257
Ligilactobacillus salivarius,0,0,0,0,0,0,2,0
Limosilactobacillus fermentum,0,0,0,0,0,0,1,0
Limosilactobacillus mucosae,3,0,0,11,0,16,0,343
Limosilactobacillus vaginalis,0,0,0,0,7,18,6,11
Liquorilactobacillus hordei,0,0,0,0,4,5,17,1
Listeria grayi,0,0,0,0,1,0,0,0
Lonsdalea quercina,0,0,0,0,1,1,61,3
Luteimonas huabeiensis,0,0,0,0,0,0,2,0
Mangrovactinospora gilvigrisea,0,0,0,0,0,0,0,1
Mangrovibacter phragmitis,0,0,0,0,5,3,25,16
Mannheimia haemolytica,0,0,0,0,0,19,14,4
Marienburgvirus BP4795,0,0,0,0,534,349,163,201
Mariniblastus fucicola,0,0,0,0,0,2,0,3
Marinilactibacillus piezotolerans,0,0,0,0,15,47,142,95
Mariniphaga anaerophila,0,0,0,0,2,0,9,0
Marinobacter nitratireducens,0,0,0,0,1,0,0,0
Marvinbryantia formatexigens,126,159,121,3,49,153,197,278
Massilia timonae,0,0,0,0,6,0,0,0
Massiliimalia massiliensis,0,0,0,0,1,0,7,2
Massilimicrobiota timonensis,0,0,0,0,2,16,40,17
Massilioclostridium coli,0,0,4,2,9,18,13,18
Mediterranea massiliensis,7,6,13,3,480,717,641,2018
Mediterraneibacter gnavus,4,8,5,5,12362,34749,59360,46201
Megamonas funiformis,0,0,0,0,2,0,1,3
Megasphaera elsdenii,1,1,1,7,3234,8558,54757,10642
Megasphaera lornae,0,0,0,0,23,0,96,7
Megasphaera massiliensis,0,0,0,0,0,0,2,1
Melaminivora alkalimesophila,0,0,0,0,0,0,1,1
Merdibacter massiliensis,66,57,51,101,35,811,66,64
Merdimmobilis hominis,13,32,34,36,36,4,3,39
Merdimonas faecis,10,11,7,19,117,308,299,213
