species,Healthy_stool_100_100_noerr,Healthy_stool_100_10_noerr,Healthy_stool_100_1_noerr,Healthy_stool_100_50_noerr,Healthy_stool_10_100_noerr,Healthy_stool_10_10_noerr,Healthy_stool_10_1_noerr,Healthy_stool_10_50_noerr
Peptostreptococcaceae bacterium oral taxon 929,2,0,1,3,2,0,2,1
g_Ruminococcus,0,3,1,1,2,1,0,2
[Clostridium] cellulosi,2,0,2,2,3,6,1,2
Ruminococcaceae bacterium CPB6,0,0,2,1,2,2,1,2
Ruminococcaceae bacterium LBM 19010,0,1,0,0,0,0,0,0
Flintibacter sp. KGMB00164,5,7,3,12,9,10,5,8
Intestinimonas butyriciproducens,2,1,2,3,0,2,0,0
Massilistercora timonensis,66,62,49,53,14,12,11,18
Anoxybacter fermentans,2,0,0,1,0,0,0,0
g_Moorella,0,1,0,0,1,0,0,1
g_Thermoanaerobacter,0,3,4,3,0,1,1,0
g_Caldicellulosiruptor,2,1,0,1,3,0,0,3
g_Thermoanaerobacterium,0,1,0,1,0,0,0,0
g_Erysipelothrix,0,1,0,1,0,1,0,0
Erysipelotrichaceae bacterium GAM147,9,14,6,3,0,1,0,0
g_Acidaminococcus,0,2,0,1,0,0,0,0
g_Megamonas,1,1,0,0,0,0,0,0
g_Selenomonas,1,1,0,0,1,0,0,2
g_Dialister,13,7,4,5,2,7,5,5
g_Megasphaera,1,0,0,0,0,0,0,0
g_Veillonella,7,1,0,1,0,0,0,0
Schnuerera ultunensis,0,1,1,1,1,0,0,3
g_Fusobacterium,5,0,0,1,0,0,1,2
g_Leptotrichia,0,1,1,1,0,0,0,0
