"","superkingdom","kingdom","phylum","class","order","family","genus","species","read_counts","Proportion","readsEM","EMProportion","IDs","TaxonomyIDs","read_proportions"
"100",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Enterocloster","Enterocloster bolteae",16,0.000214802583001061,16.6,0.000223143890796497,"232","997894","1"
"101",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Porphyromonadaceae","Sanguibacteroides","Sanguibacteroides justesenii",16,0.000214802583001061,16,0.000214903915635902,"233","1547597","1"
"102",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellamassilia","Prevotellamassilia timonensis",15,0.000201377421563494,14.8,0.000198167083903285,"235","1852370","1"
"103",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Yokenella","Yokenella regensburgei",15,0.000201377421563494,18.6,0.000249160718121836,"234","911023","1"
"104",NA,NA,"Bacillota","Clostridia","Christensenellales","Christensenellaceae","Christensenella","Christensenella minuta",13,0.000174527098688362,12.8,0.00017249065450106,"236","626937","1"
"105",NA,NA,"Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Merdibacter","Merdibacter massiliensis",13,0.000174527098688362,11.6,0.000155858482390574,"238","1871030","1"
"106",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides faecichinchillae",13,0.000174527098688362,12.7,0.000169908489773374,"237","1236513","1"
"107",NA,NA,"Actinomycetota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella bouchesdurhonensis",11,0.000147676775813229,11.6,0.00015608391147694,"243","1907654","1"
"108",NA,NA,"Bacillota","Clostridia","Eubacteriales","Desulfitobacteriaceae","Desulfitobacterium","Desulfitobacterium dichloroeliminans",11,0.000147676775813229,9.3,0.000124319355702481,"241","871963","1"
"109",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Culturomica","Culturomica massiliensis",11,0.000147676775813229,28,0.000375833701806946,"242","1841857","1"
"110",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Salmonella","Salmonella enterica",11,0.000147676775813229,11,0.000147382974144691,"240","99287","1"
"111",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia","Yersinia pestis",11,0.000147676775813229,11,0.000147702440516368,"239","214092","1"
"112",NA,NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium reuteri",10,0.000134251614375663,10,0.000134268373362592,"245","1437610","1"
"113",NA,NA,"Bacillota","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis",10,0.000134251614375663,7.8,0.000105195686390337,"244","226185","1"
"114",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Bariatricus","Bariatricus massiliensis",10,0.000134251614375663,8.7,0.000116338766714373,"246","1745713","1"
"115",NA,NA,"Uroviricota","Caudoviricetes",NA,NA,"Pankowvirus","Pankowvirus pv1717",10,0.000134251614375663,10,0.000134335486449863,"247","563769","1"
"116",NA,NA,"Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella","Hungatella hathewayi",9,0.000120826452938097,9,0.00012089162827884,"250","566550","1"
"117",NA,NA,"Bacillota","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae","Kandleria","Kandleria vitulina",9,0.000120826452938097,9,0.000120841053733989,"248","1410657","1"
"118",NA,NA,"Bacillota","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacillus","Amedibacillus dolichus",9,0.000120826452938097,8.8,0.000117768132796909,"249","428127","1"
"119",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Hallella","Hallella bergensis",9,0.000120826452938097,11.2,0.000150607787461242,"251","585502","1"
"120",NA,NA,"Actinomycetota","Actinomycetes","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium pseudolongum",8,0.00010740129150053,8,0.000107414687430242,"252","1447715","1"
"121",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella ihumii",8,0.00010740129150053,13,0.000174259435659249,"255","1917878","1"
"122",NA,NA,"Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella intermedia",8,0.00010740129150053,5.2,6.94886551652601e-05,"253","1122984","1"
"123",NA,NA,"Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Xenorhabdus","Xenorhabdus cabanillasii",8,0.00010740129150053,7.5,0.000100408489403531,"254","1427517","1"
"124",NA,NA,"Uroviricota","Caudoviricetes",NA,NA,"Punavirus","Punavirus SJ46",8,0.00010740129150053,8.9,0.000119948268270404,"256","1815968","1"
