species,abundance_cols.Healthy_stool_100_100_noerr,abundance_cols.Healthy_stool_100_10_noerr,abundance_cols.Healthy_stool_100_1_noerr,abundance_cols.Healthy_stool_100_50_noerr,abundance_cols.Healthy_stool_10_100_noerr,abundance_cols.Healthy_stool_10_10_noerr,abundance_cols.Healthy_stool_10_1_noerr,abundance_cols.Healthy_stool_10_50_noerr
Desulfitobacterium hafniense,10,13,0,0,0,0,0,0
Desulfitobacterium metallireducens,10,14,0,17,0,10,0,0
Peptococcaceae bacterium DCMF,13,11,10,17,0,0,12,0
Desulfoscipio gibsoniae,13,14,0,18,14,0,12,11
Thermincola potens,11,10,0,0,0,0,0,0
Acetivibrio thermocellus,23,24,36,18,11,17,23,15
Acetivibrio clariflavus,25,30,49,28,0,18,32,27
Hungateiclostridium saccincola,16,21,14,11,21,19,0,26
Mageeibacillus indolicus,29,18,0,16,0,0,0,0
Clostridium thermosuccinogenes,22,19,10,16,21,12,0,19
Thermoclostridium stercorarium,18,29,10,15,14,15,0,17
Fastidiosipila sanguinis,12,0,0,0,0,0,0,0
Ruminiclostridium cellulolyticum,11,19,0,24,17,0,0,11
Petrocella atlantisensis,24,22,0,10,0,0,0,0
Thermoanaerobacterium sp. RBIITD,14,0,0,0,0,0,0,0
Thermoanaerobacterium thermosaccharolyticum,15,22,36,21,18,15,13,20
Halanaerobium praevalens,15,11,0,12,0,0,0,0
Halocella sp. SP3-1,10,0,14,11,0,0,12,11
Anoxybacter fermentans,11,12,0,0,0,0,0,0
Streptococcus parasanguinis,6031,1068,417,1551,0,0,0,0
Streptococcus thermophilus,5107,2759,1075,3935,0,0,36,43
Streptococcus salivarius,6134,3418,1407,4931,0,0,0,0
Streptococcus sp. HSISS2,27,0,0,24,0,0,0,0
Streptococcus sp. HSISS1,183,0,0,0,0,0,0,0
Streptococcus agalactiae,198,138,59,122,0,0,0,0
Streptococcus pyogenes,82,22,0,32,0,0,0,0
Streptococcus suis,51,28,14,42,53,0,0,0
Streptococcus dysgalactiae,26,14,0,0,0,0,0,0
Streptococcus pseudoporcinus,24,0,0,0,0,0,0,0
Streptococcus intermedius,14,0,0,0,0,0,0,0
Streptococcus lutetiensis,49,38,0,40,0,0,0,0
Streptococcus canis,16,13,0,0,0,0,0,0
Streptococcus equinus,18,32,36,15,0,46,58,0
Streptococcus pneumoniae,14,15,0,18,0,0,0,0
Streptococcus sanguinis,13,10,0,11,0,0,0,0
Streptococcus halotolerans,11,0,0,0,0,0,0,0
Streptococcus vestibularis,11,0,0,0,0,0,0,0
Streptococcus mitis,11,0,0,0,0,0,0,0
Streptococcus oralis,11,14,24,13,0,0,40,0
Streptococcus cristatus,10,0,24,11,0,12,29,34
Lactococcus lactis,64,52,21,46,0,0,0,0
Pseudolactococcus piscium,10,0,23,0,0,12,18,18
Enterococcus faecium,8794,1451,643,1956,67,58,90,58
Enterococcus avium,19,17,27,21,0,0,20,0
Enterococcus faecalis,18,11,0,12,0,0,0,0
Enterococcus saigonensis,18,16,20,12,0,41,0,29
Enterococcus cecorum,16,18,0,16,0,0,0,0
Enterococcus mundtii,15,11,0,0,0,0,0,0
Enterococcus wangshanyuanii,10,0,0,0,0,0,0,0
Ligilactobacillus ruminis,5895,1397,554,1965,0,0,18,12
Limosilactobacillus reuteri,24,27,19,42,0,0,15,14
Lactiplantibacillus plantarum,42,54,89,45,43,51,71,57
Ligilactobacillus salivarius,18,0,0,0,0,0,0,0
Paucilactobacillus hokkaidonensis,11,0,0,0,0,0,0,0
Ligilactobacillus murinus,10,0,0,0,0,0,0,0
Lactobacillus johnsonii,14,0,0,0,0,0,0,0
Companilactobacillus crustorum,10,0,0,0,0,0,0,0
Bacillus sp. S3,27,16,18,13,0,25,16,17
Bacillus sp. FJAT-18017,16,19,0,0,0,0,0,0
Bacillus sp. NSP9.1,12,0,0,0,0,0,0,0
Bacillus sp. DSL-17,12,22,0,0,0,0,0,0
Bacillus sp. X1(2014),14,0,0,0,0,0,0,0
Bacillus cereus,205,128,73,155,0,0,37,0
Bacillus thuringiensis,56,62,77,43,100,0,56,101
Bacillus cytotoxicus,13,0,0,0,0,0,0,0
Bacillus pseudomycoides,11,17,0,0,0,0,0,0
Bacillus velezensis,71,0,0,0,0,0,0,0
Priestia megaterium,32,37,0,55,0,0,0,0
Bacillus pumilus,21,18,21,20,0,0,0,0
Bacillus marisflavi,16,11,0,0,0,20,0,0
Niallia circulans,12,19,21,13,0,21,22,0
Bacillus thermoamylovorans,19,0,0,27,0,0,0,0
Peribacillus simplex,18,0,0,12,0,0,0,0
Peribacillus butanolivorans,11,0,0,0,0,0,0,0
Alkalihalophilus pseudofirmus,12,0,0,0,0,0,0,0
Oceanobacillus iheyensis,13,11,0,12,0,0,0,0
Oceanobacillus sp. 160,10,12,0,0,0,0,0,0
Cytobacillus oceanisediminis,17,23,0,15,0,0,0,0
Neobacillus mesonae,17,14,13,0,0,0,0,0
Pontibacillus sp. HMF3514,10,16,19,14,0,0,15,15
Pradoshia sp. D12,12,16,0,0,0,0,0,0
Paenibacillus sp. FSL R7-0273,16,0,0,0,0,0,0,0
Paenibacillus sp. B01,22,0,0,0,0,0,0,0
Paenibacillus sp. FSL R7-0331,14,0,18,0,0,0,0,0
Paenibacillus sp. FSL H7-0357,11,0,0,0,0,0,0,0
Paenibacillus sp. IHBB 10380,12,0,0,0,0,0,0,0
Paenibacillus polymyxa,101,121,115,114,55,70,78,51
Paenibacillus riograndensis,17,0,31,15,14,12,22,24
Paenibacillus donghaensis,15,16,44,11,0,14,25,15
Paenibacillus guangzhouensis,15,17,0,15,0,0,0,0
Paenibacillus xylanexedens,14,0,12,0,0,0,0,0
Paenibacillus larvae,10,14,0,12,0,0,0,0
Paenibacillus crassostreae,11,0,0,0,0,0,0,0
Paenibacillus beijingensis,11,0,0,0,0,0,0,0
Brevibacillus laterosporus,31,32,0,0,0,0,0,0
Brevibacillus brevis,15,17,27,19,0,0,10,0
Staphylococcus epidermidis,24,0,0,0,0,0,0,0
Staphylococcus saprophyticus,16,0,29,0,19,12,22,0
Staphylococcus aureus,76,27,0,0,0,0,0,0
Staphylococcus nepalensis,12,0,0,0,0,0,0,0
Staphylococcus simiae,11,0,0,0,0,0,0,0
Macrococcus canis,15,0,0,0,0,0,0,0
Sporosarcina ureae,31,30,0,16,0,0,0,0
Solibacillus silvestris,26,0,0,0,0,0,0,0
Jeotgalibacillus malaysiensis,15,16,22,25,28,19,14,20
Listeria monocytogenes,28,53,0,0,0,0,0,0
Exiguobacterium artemiae,13,0,0,0,0,0,0,0
Tumebacillus avium,12,0,0,0,13,0,0,0
Alicyclobacillus acidocaldarius,12,0,0,0,0,0,0,0
Phascolarctobacterium faecium,7107,1960,758,2698,15,0,0,0
Acidaminococcus intestini,6444,1295,489,1857,10,0,0,0
Acidaminococcus fermentans,26,19,0,13,0,0,0,0
Megasphaera elsdenii,7206,1016,404,1350,0,0,17,13
Megasphaera stantonii,29,37,25,45,65,69,56,94
Veillonella parvula,6054,789,303,1143,0,10,0,0
Veillonella rodentium,15,0,0,14,0,0,0,0
Veillonella atypica,10,0,0,0,0,0,0,0
Dialister pneumosintes,165,66,71,81,0,0,0,0
Selenomonas ruminantium,35,23,44,41,19,28,36,20
Selenomonas sputigena,16,11,0,0,0,0,0,0
Megamonas funiformis,25,18,24,10,0,0,18,12
Megamonas hypermegale,23,21,0,10,11,0,0,0
Pectinatus frisingensis,14,10,0,14,0,0,0,0
Pelosinus sp. UFO1,11,0,24,11,0,0,15,0
Sporomusa termitida,16,11,0,0,0,0,0,0
Finegoldia magna,4614,967,369,1381,0,0,0,0
Peptoniphilus harei,49,19,0,21,0,0,0,0
