"Superkingdom","Phylum","Class","Order","Family","Genus","Species","Name","ti","Healthy_stool_10_1_noerr","Healthy_stool_10_10_noerr","Healthy_stool_10_100_noerr","Healthy_stool_10_50_noerr","Healthy_stool_100_1_noerr","Healthy_stool_100_10_noerr","Healthy_stool_100_100_noerr","Healthy_stool_100_50_noerr"
NA,"Campylobacterota","Epsilonproteobacteria","Campylobacterales","Sulfurospirillaceae","Sulfurospirillum","Sulfurospirillum deleyianum","Sulfurospirillum deleyianum",3335,1,4,2,3,3,11,10,7
NA,"Campylobacterota","Epsilonproteobacteria","Campylobacterales","Sulfurospirillaceae","Sulfurospirillum","Sulfurospirillum halorespirans","Sulfurospirillum halorespirans",3336,9,6,7,10,14,14,10,9
NA,"Campylobacterota","Epsilonproteobacteria","Campylobacterales","Sulfurospirillaceae","Sulfurospirillum","Sulfurospirillum multivorans","Sulfurospirillum multivorans",3337,28,19,8,15,34,14,12,9
NA,"Campylobacterota","Epsilonproteobacteria","Campylobacterales","Sulfurospirillaceae","Sulfurospirillum","Sulfurospirillum sp. UCH001","Sulfurospirillum sp. UCH001",3338,15,6,7,8,16,13,19,12
NA,"Campylobacterota","Epsilonproteobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum","Sulfurovum lithotrophicum","Sulfurovum lithotrophicum",3339,31,24,16,26,33,20,10,19
NA,"Campylobacterota","Epsilonproteobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum","Sulfurovum sp. NBC37-1","Sulfurovum sp. NBC37-1",3340,25,14,9,16,33,25,17,13
NA,"Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Alphacoronavirus","Alphacoronavirus suis","Swine enteric coronavirus",3341,2,NA,NA,NA,NA,NA,NA,NA
NA,"Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Suipoxvirus","Suipoxvirus swinepox","Swinepox virus",3342,NA,NA,NA,NA,NA,NA,1,NA
NA,"Bacillota","Clostridia","Eubacteriales","Symbiobacteriaceae","Symbiobacterium","g_Symbiobacterium","Symbiobacterium",3343,NA,NA,NA,1,NA,NA,NA,1
NA,"Bacillota","Clostridia","Eubacteriales","Symbiobacteriaceae","Symbiobacterium","Symbiobacterium thermophilum","Symbiobacterium thermophilum",3344,81,111,102,118,34,45,41,77
