species,abundence_cols.Healthy_stool_100_100,abundence_cols.Healthy_stool_100_10,abundence_cols.Healthy_stool_100_1,abundence_cols.Healthy_stool_100_50,abundence_cols.Healthy_stool_10_100,abundence_cols.Healthy_stool_10_10,abundence_cols.Healthy_stool_10_1,abundence_cols.Healthy_stool_10_50
Escherichia albertii,28,46,35,31,0,0,0,0
Escherichia fergusonii,29,70,27,35,0,0,0,0
Escherichia marmotae,21,42,11,28,0,0,0,0
Escherichia sp. E4742,12,33,14,22,0,0,0,0
Enterobacter cloacae,34,50,0,37,0,0,0,0
Shigella dysenteriae,33,60,25,58,0,0,0,0
Shigella flexneri,60,95,0,58,0,0,0,0
Shigella boydii,24,64,0,21,0,0,0,0
Salmonella enterica,81,73,29,36,182,0,0,0
Serratia marcescens,36,0,0,0,0,0,0,0
Buchnera aphidicola,29,14,33,0,0,0,31,0
Morganella morganii,11,0,0,0,0,0,0,0
Dickeya zeae,18,0,29,16,0,26,40,29
